240740;1
240139;1
239715;1
249031;1
248976;1
238611;1
248976;1
238611;1
238499;1
232048;1
238606;1
232048;1
238611;1
232050;1
238610;1
238611;1
248991;1
238611;1
242346;1
248927;1
248977;1
249168;1
227508;1
242241;1
238611;1
249493;1
249168;1
249492;1
242346;1
249162;1
249521;1
248927;1
249168;1
249164;1
249498;1
238611;1
238454;1
248977;1
232675;1
249169;1
238611;1
238611;1
225803;1
249494;1
225793;1
238611;1
248925;1
248926;1
238606;1
238611;1
248984;1
238611;1
238611;1
248976;1
238611;1
238611;1
236903;1
236903;1
236903;1
236903;1
236903;1
236903;1
236903;1
227185;1
236903;1
236903;1
236903;1
226108;1
224239;1
236903;1
236903;1
236903;1
226246;1
236903;1
236903;1
236903;1
236903;1
236903;1
226248;1
226659;1
236903;1
236903;1
227185;1
250079;1
250079;1
250079;1
226248;1
236903;1
236903;1
249501;1
249523;1
249523;1
249502;1
238828;1
238829;1
238214;1
238829;1
249157;1
249157;1
241407;1
248931;1
248923;1
240969;1
249157;1
232670;1
228849;1
239559;1
249157;1
238482;1
248936;1
249157;1
